numero_exp,ordre_date,genre,decision,decision_partner,same_ethnie,match,objectif,ethnie,ethnie_partner,importance_ethnie,corr_interest,age,age_partner,attr_eval,sinc_eval,intel_eval,fun_eval,amb_eval,shar_eval,attr_by_partner,sinc_by_partner,intel_by_partner,fun_by_partner,amb_by_partner,shar_by_partner,attr_pref_1,sinc_pref_1,intel_pref_1,fun_pref_1,amb_pref_1,shar_pref_1,attr_pref_2,sinc_pref_2,intel_pref_2,fun_pref_2,amb_pref_2,shar_pref_2,attr_autoeval_1,sinc_autoeval_1,intel_autoeval_1,fun_autoeval_1,amb_autoeval_1,attr_autoeval_2,sinc_autoeval_2,intel_autoeval_2,fun_autoeval_2,amb_autoeval_2,attr_pref_partner,sinc_pref_partner,intel_pref_partner,fun_pref_partner,amb_pref_partner,shar_pref_partner,attr_croyance,sinc_croyance,intel_croyance,fun_croyance,amb_croyance,shar_croyance
1,10,Femme,Non,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.29,24,27,15.15,21.21,24.24,12.12,18.18,9.09,19.51,17.07,14.63,21.95,17.07,9.76,15.600000000000001,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,19.378,18.77,20.59,17.65,23.53,20.016000000000002,18.396,35.0,20.0,20.0,20.0,0.0,5.0,34.0,0.0,10.0,25.0,6.3,0.0
1,9,Femme,Non,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.18,24,22,20.0,12.5,15.0,15.0,22.5,15.0,17.5,15.0,25.0,15.0,15.0,12.5,25.0,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,21.080000000000002,18.676000000000002,20.59,17.65,23.53,21.102,19.38,27.665999999999997,0.0,21.222,8.222,0.0,0.0,40.0,0.0,10.0,25.0,9.0,0.0
1,6,Femme,Non,Oui,Non,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Asiatique / Pacifique / Asiatique-Américain,2,0.1,24,22,14.29,22.86,25.71,17.14,18.772,11.43,16.67,16.67,16.67,16.67,16.67,16.67,16.078,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,19.238000000000003,19.806,20.59,17.65,23.53,19.638,18.946,19.0,18.0,19.0,18.0,14.0,12.0,27.518,0.0,10.0,25.0,4.1000000000000005,0.0
1,1,Femme,Oui,Oui,Oui,Oui,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,-0.21,24,23,17.07,21.95,17.07,14.63,12.2,17.07,16.67,16.67,16.67,16.67,16.67,16.67,25.0,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,21.528,18.014,20.59,17.65,23.53,21.074,18.062,30.0,5.0,15.0,9.822,5.0,5.0,40.0,0.0,10.0,25.0,8.0,0.0
1,3,Femme,Non,Oui,Non,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Latino / Hispanique-Américain,2,0.32,24,24,13.33,17.78,15.56,20.0,15.56,17.78,18.18,18.18,18.18,18.18,12.73,14.55,28.0,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,22.402,18.57,20.59,17.65,23.53,22.102,17.658,30.0,10.0,20.0,10.0,10.0,20.0,38.0,0.0,10.0,25.0,9.0,0.0
1,2,Femme,Non,Oui,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.73,24,25,23.53,20.59,23.53,17.204,17.65,5.88,17.07,19.51,17.07,12.2,17.07,17.07,16.0,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,20.046,19.38,20.59,17.65,23.53,20.582,19.04,26.799999999999997,0.0,30.0,10.0,0.0,10.0,33.0,0.0,10.0,25.0,4.8,0.0
1,7,Femme,Oui,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.6,24,30,16.28,11.63,20.93,13.95,16.28,20.93,21.74,13.04,17.39,13.04,21.74,13.04,20.102,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,21.884,18.162000000000003,20.59,17.65,23.53,21.544,19.944,35.0,15.0,25.0,10.0,5.0,10.0,37.6,0.0,10.0,25.0,8.0,0.0
1,8,Femme,Non,Oui,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.07,24,27,12.82,20.51,17.95,12.82,23.08,12.82,17.5,17.5,17.5,17.5,17.5,12.5,23.0,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,20.432,19.544,20.59,17.65,23.53,20.784,18.062,33.33,11.11,11.11,11.11,11.11,22.22,37.0,0.0,10.0,25.0,8.399999999999999,0.0
1,4,Femme,Oui,Oui,Oui,Oui,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.11,24,28,17.95,15.38,20.51,23.08,17.582,12.82,17.02,12.77,19.15,19.15,17.02,14.89,20.8,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,20.59,19.658,20.59,17.65,23.53,21.114,19.05,29.0,0.0,25.0,10.0,0.0,15.0,34.0,0.0,10.0,25.0,10.0,0.0
1,5,Femme,Oui,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,2,0.39,24,24,13.33,15.56,17.78,15.56,20.0,17.78,14.63,12.2,17.07,17.07,21.95,17.07,24.0,5.0,25.0,20.0,0.0,5.0,18.92,18.92,21.62,27.03,5.41,8.11,21.21,15.149999999999999,24.24,21.694,18.53,20.59,17.65,23.53,21.323999999999998,19.31,33.666,0.0,19.222,0.0,0.0,0.0,35.0,0.0,10.0,25.0,9.0,0.0
1,3,Femme,Non,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,-0.18,23,27,9.52,23.81,19.05,11.9,19.05,16.67,15.0,17.5,20.0,17.5,17.5,12.5,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,24.0,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,35.0,20.0,20.0,20.0,0.0,5.0,30.0,10.0,15.0,30.0,5.0,10.0
1,2,Femme,Non,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,-0.18,23,22,16.67,14.58,16.67,20.83,14.58,16.67,15.79,13.16,26.32,15.79,15.79,13.16,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,22.887999999999998,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,25.0,0.0,19.0,10.999999999999998,0.0,0.0,30.0,10.0,15.0,30.0,5.0,10.0
1,9,Femme,Non,Oui,Non,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Asiatique / Pacifique / Asiatique-Américain,1,0.05,23,22,10.0,17.5,20.0,20.0,15.0,17.5,16.67,16.67,16.67,16.67,16.67,16.67,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,20.0,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,19.0,18.0,19.0,18.0,14.0,12.0,30.0,10.0,15.0,30.0,5.0,10.0
1,4,Femme,Oui,Oui,Oui,Oui,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,-0.18,23,23,15.38,19.23,13.46,19.23,13.46,19.23,14.58,14.58,14.58,18.75,18.75,18.75,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,20.887999999999998,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,30.0,5.0,15.0,9.6,5.0,5.0,30.0,10.0,15.0,30.0,5.0,10.0
1,6,Femme,Non,Oui,Non,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Latino / Hispanique-Américain,1,0.21,23,24,12.24,18.37,16.33,18.37,16.33,18.37,16.0,16.0,18.0,16.0,16.0,18.0,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,22.0,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,30.0,10.0,20.0,10.0,10.0,20.0,30.0,10.0,15.0,30.0,5.0,10.0
1,5,Femme,Non,Oui,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,0.37,23,25,13.51,19.52,21.62,10.81,21.62,5.41,14.63,14.63,17.07,17.07,19.51,17.07,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,20.444,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,31.599999999999998,0.0,30.0,10.0,0.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
1,10,Femme,Non,Oui,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,0.35,23,30,14.29,20.41,20.41,14.29,20.41,10.2,21.88,18.75,19.224,15.62,18.75,15.62,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,23.0,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,35.0,15.0,25.0,10.0,5.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
1,1,Femme,Non,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,0.15,23,27,11.36,20.45,20.45,11.36,20.45,15.91,15.79,18.42,21.05,15.79,15.79,13.16,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,22.444,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,33.33,11.11,11.11,11.11,11.11,22.22,30.0,10.0,15.0,30.0,5.0,10.0
1,7,Femme,Oui,Oui,Oui,Oui,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,-0.47,23,28,17.31,15.38,19.23,19.23,13.46,15.38,14.0,14.0,14.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,21.332,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,28.799999999999997,0.0,25.0,10.0,0.0,15.0,30.0,10.0,15.0,30.0,5.0,10.0
1,8,Femme,Oui,Non,Oui,Non,Passer une soirée sympa,Européen / Caucasien-Américain,Européen / Caucasien-Américain,1,-0.19,23,24,15.09,16.98,18.87,18.87,15.09,15.09,15.56,17.78,17.78,15.56,17.78,15.56,20.0,20.0,20.0,20.0,10.0,10.0,24.14,13.79,20.69,19.332,10.34,3.4499999999999993,17.95,20.51,17.95,23.08,20.51,17.14,22.86,20.0,22.86,17.14,32.0,0.0,20.0,0.0,0.0,0.0,30.0,10.0,15.0,30.0,5.0,10.0
1,1,Femme,Non,Non,Oui,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,-0.43,21,27,18.52,16.954,20.286,16.116,16.062,7.41,13.95,18.6,18.6,18.6,16.28,13.95,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,20.428,21.034,18.18,24.24,15.38,15.38,23.08,23.08,23.08,35.0,20.0,20.0,20.0,0.0,5.0,50.0,10.0,10.0,20.0,5.0,5.0
1,10,Femme,Non,Non,Oui,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,0.0,21,22,22.86,17.14,17.14,14.29,14.29,14.29,14.63,17.07,24.39,17.07,14.63,12.2,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,19.826,20.366,18.18,24.24,15.38,15.38,23.08,23.08,23.08,32.666,0.0,21.222,12.222,0.0,0.0,50.0,10.0,10.0,20.0,5.0,5.0
1,7,Femme,Non,Oui,Non,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Asiatique / Pacifique / Asiatique-Américain,8,-0.17,21,22,10.81,16.22,21.62,21.62,16.22,13.51,16.67,16.67,16.67,16.67,16.67,16.67,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,21.768,20.334,18.18,24.24,15.38,15.38,23.08,23.08,23.08,19.0,18.0,19.0,18.0,14.0,12.0,50.0,10.0,10.0,20.0,5.0,5.0
1,2,Femme,Oui,Oui,Oui,Oui,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,0.08,21,23,19.51,12.2,12.2,17.07,17.07,21.95,12.5,16.67,12.5,16.67,20.83,20.83,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,20.928,20.52,18.18,24.24,15.38,15.38,23.08,23.08,23.08,30.0,5.0,15.0,8.222,5.0,5.0,50.0,10.0,10.0,20.0,5.0,5.0
1,4,Femme,Non,Non,Non,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Latino / Hispanique-Américain,8,-0.16,21,24,16.22,18.92,18.92,13.51,10.81,21.62,11.36,20.45,20.45,15.91,20.45,11.36,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,21.204,20.206,18.18,24.24,15.38,15.38,23.08,23.08,23.08,30.0,10.0,20.0,10.0,10.0,20.0,50.0,10.0,10.0,20.0,5.0,5.0
1,3,Femme,Oui,Non,Oui,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,0.06,21,25,13.16,15.79,18.42,13.16,18.42,21.05,12.2,19.51,17.07,17.07,17.07,17.07,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,20.432,20.518,18.18,24.24,15.38,15.38,23.08,23.08,23.08,32.666,0.0,30.0,10.0,0.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0
1,8,Femme,Oui,Non,Oui,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,-0.05,21,30,16.67,16.67,22.22,13.89,13.89,16.67,9.52,14.29,19.05,19.05,23.81,14.29,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,20.59,21.116,18.18,24.24,15.38,15.38,23.08,23.08,23.08,35.0,15.0,25.0,10.0,5.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0
1,9,Femme,Oui,Non,Oui,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,0.07,21,27,14.29,14.29,20.0,17.14,20.0,14.29,16.13,16.13,19.35,16.13,16.13,16.13,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,19.715999999999998,19.900000000000002,18.18,24.24,15.38,15.38,23.08,23.08,23.08,33.33,11.11,11.11,11.11,11.11,22.22,50.0,10.0,10.0,20.0,5.0,5.0
1,5,Femme,Oui,Oui,Oui,Oui,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,-0.13,21,28,16.28,11.63,16.28,18.6,16.28,20.93,10.64,19.15,19.15,19.15,19.15,12.77,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,20.196,20.708000000000002,18.18,24.24,15.38,15.38,23.08,23.08,23.08,32.666,0.0,25.0,10.0,0.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
1,6,Femme,Oui,Non,Oui,Non,Rencontrer de nouvelles personnes,Européen / Caucasien-Américain,Européen / Caucasien-Américain,8,-0.06,21,24,21.43,14.29,16.67,21.43,14.29,11.9,7.140000000000001,23.81,16.67,16.67,23.81,11.9,20.0,5.0,25.0,25.0,10.0,15.0,15.79,13.16,18.42,15.79,15.79,21.05,18.18,20.162,20.698,18.18,24.24,15.38,15.38,23.08,23.08,23.08,34.0,0.0,23.0,0.0,0.0,0.0,50.0,10.0,10.0,20.0,5.0,5.0
1,5,Femme,Oui,Non,Non,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.33,23,27,14.63,21.95,17.07,14.63,17.07,14.63,15.56,20.0,17.78,20.0,17.78,8.89,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.13,24.24,19.864,35.0,20.0,20.0,20.0,0.0,5.0,25.0,10.0,10.0,25.0,10.0,20.0
1,4,Femme,Oui,Non,Non,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.37,23,22,15.0,22.5,22.5,15.0,20.0,5.0,13.95,18.6,23.26,13.95,16.28,13.95,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,21.872,24.24,20.084,33.666,0.0,23.221999999999998,10.221999999999998,0.0,0.0,25.0,10.0,10.0,25.0,10.0,20.0
1,1,Femme,Non,Oui,Oui,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Asiatique / Pacifique / Asiatique-Américain,1,-0.51,23,22,13.79,24.14,22.318,13.79,10.34,6.9,16.67,16.67,16.67,16.67,16.67,16.67,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.848,24.24,17.77,19.0,18.0,19.0,18.0,14.0,12.0,25.0,10.0,10.0,25.0,10.0,20.0
1,6,Femme,Oui,Oui,Non,Oui,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.12,23,23,20.51,15.38,17.95,20.51,15.902000000000001,20.51,13.04,17.39,17.39,15.22,19.57,17.39,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.788,24.24,19.174,30.0,5.0,15.0,7.999999999999998,5.0,5.0,25.0,10.0,10.0,25.0,10.0,20.0
1,8,Femme,Non,Oui,Non,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Latino / Hispanique-Américain,1,0.35,23,24,16.13,12.9,25.81,17.722,12.9,6.45,19.15,14.89,19.15,14.89,19.15,12.77,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.852,24.24,19.733999999999998,30.0,10.0,20.0,10.0,10.0,20.0,25.0,10.0,10.0,25.0,10.0,20.0
1,7,Femme,Non,Oui,Non,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.19,23,25,15.79,18.098,20.29,16.958,15.222000000000001,5.26,13.95,13.95,18.6,18.6,18.6,16.28,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.186,24.24,21.788,30.466,0.0,30.0,10.0,0.0,10.0,25.0,10.0,10.0,25.0,10.0,20.0
1,2,Femme,Oui,Non,Non,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.47,23,30,20.51,20.51,20.51,20.51,17.86,10.26,15.62,18.75,25.0,12.5,15.62,12.5,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,23.02,24.24,20.102,35.0,15.0,25.0,10.0,5.0,10.0,25.0,10.0,10.0,25.0,10.0,20.0
1,3,Femme,Non,Non,Non,Non,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.03,23,27,11.76,23.53,26.47,16.638,23.53,8.82,14.63,17.07,19.51,17.07,19.51,12.2,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.387999999999998,24.24,19.7,33.33,11.11,11.11,11.11,11.11,22.22,25.0,10.0,10.0,25.0,10.0,20.0
1,9,Femme,Oui,Oui,Non,Oui,Passer une soirée sympa,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,1,0.46,23,28,15.91,13.64,18.18,18.18,13.64,20.45,15.79,18.42,18.42,15.79,15.79,15.79,10.0,25.0,20.0,25.0,5.0,15.0,10.26,25.64,20.51,23.08,2.56,17.95,14.71,20.59,26.47,23.53,14.71,15.15,24.24,22.788,24.24,21.318,33.0,0.0,25.0,10.0,0.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
